trial,seed,base_duration,imp_duration,min_cost,base_cost,imp_cost
581,744355415017,5413,763,1.0682458166808218E8,1.3149224833474879E8,1.1277191500141552E8
582,744392205720,5493,785,1.0089678960246691E8,1.2601780921031001E8,1.0706875038678072E8
583,744458658488,6226,931,1.1046155099372327E8,1.3756792354274318E8,1.1669915883686091E8
584,744496117983,5893,901,1.076347763390075E8,1.3465040378998798E8,1.1393114888802728E8
585,744529856659,5743,882,1.0919590825562754E8,1.361246337458234E8,1.1591345727523525E8
586,744566340179,5494,828,1.068987258443471E8,1.3260568662866083E8,1.1318007878552353E8
587,744601285245,5783,880,1.0767260496936212E8,1.3461666379289147E8,1.1386784026347959E8
588,744640472848,6227,895,1.1207505483933112E8,1.3990411366286063E8,1.1832407444717437E8
589,744680327099,5753,897,1.0775248254818575E8,1.333353649011269E8,1.140037962736759E8
590,744715618129,5620,876,1.0181891602733988E8,1.2682532779204592E8,1.080321709293008E8
591,744749273712,5849,905,1.0587225395239152E8,1.3293101865827373E8,1.1232843042297974E8
592,744784729006,6180,914,1.0981726498020706E8,1.3862408850961894E8,1.1663475517628562E8
593,744824316818,6373,836,1.0891705362112986E8,1.372276418564239E8,1.1521962224858084E8
594,744862442127,5957,825,1.0027440409940313E8,1.2760530606018758E8,1.0661761978567761E8
595,744898301319,6566,872,1.0781996912280962E8,1.3724018480908427E8,1.1425322402477032E8
596,744941294644,6335,891,1.1484452900663608E8,1.4314711724193007E8,1.2131064665369502E8
597,744978341504,6280,1015,1.0709362779866193E8,1.3563301995552462E8,1.1382551015160327E8
598,745017068227,6703,985,1.1185363323838675E8,1.4111267245407307E8,1.1843669206191622E8
599,745057666064,5590,876,1.0397218285717458E8,1.3015063383756688E8,1.1012467305325314E8
600,745092821438,5796,952,1.0709956603923003E8,1.3333348760785744E8,1.1341686015687704E8
601,745132050924,6022,1018,1.0789407332248892E8,1.3433938704797906E8,1.1439017136170474E8
602,745167106056,6375,938,1.07914105926504E8,1.374223608284648E8,1.1467240004415105E8
603,745208710863,6643,933,1.0885690550667894E8,1.367444741341299E8,1.1551633687922797E8
604,745247035256,6244,846,1.0725751987627156E8,1.3513465713117343E8,1.1350375517038915E8
605,745283609875,6000,841,1.0880899842116678E8,1.3626646900940195E8,1.1489758665646094E8
606,745318911198,6079,779,1.1063568338941674E8,1.3906274221294627E8,1.1690152652667165E8
607,745360483783,6739,977,1.0920080832528786E8,1.3788735734489572E8,1.156598083252879E8
608,745399273981,5725,852,1.0546976287172042E8,1.3102450796975963E8,1.1200954718544608E8
609,745437934307,6194,867,1.0963410013721156E8,1.39234315823486E8,1.1606906092152534E8
610,745478236392,6069,809,1.079961894292622E8,1.3572848354690918E8,1.142650521743603E8
611,745513854797,6326,898,1.085599240778476E8,1.3776019858765146E8,1.1488572799941626E8
612,745553221504,6421,1050,1.0673518654184328E8,1.3660289242419624E8,1.1353089242419635E8
613,745591863867,6138,878,1.067069745114878E8,1.3424064117815465E8,1.1328717058991927E8
614,745629849734,5995,927,1.0728556203918752E8,1.360387581176188E8,1.138069738038932E8
615,745666186594,5742,765,1.0326731779352516E8,1.2974316093077995E8,1.0959806289156422E8
616,745701080124,5640,773,1.0271184174614768E8,1.2833199860889293E8,1.0852737115791261E8
617,745739529560,6049,927,1.0461354595918049E8,1.3253354595918052E8,1.1128968321408258E8
618,745776304317,5540,786,1.0471897918944098E8,1.3233097918944098E8,1.1081523409140174E8
619,745812527723,5973,898,1.054699544352086E8,1.3102920933716926E8,1.1150501325873785E8
620,745850250355,5864,883,1.0426432733869398E8,1.3135805282889013E8,1.1065860184849797E8
621,745887743976,5460,786,1.0546354671015014E8,1.3198521337681676E8,1.1186305651407155E8
622,745923488275,5611,908,1.0494193030354567E8,1.3129436167609462E8,1.1133940089178088E8
623,745960764832,6184,950,1.042196279763847E8,1.307766083685418E8,1.1061454954501234E8
624,745997968657,6032,842,1.0690371353022346E8,1.3448898804002744E8,1.1336322333414508E8
625,746034104510,5722,1095,1.0526531114682761E8,1.309683503625137E8,1.1168144840172945E8
626,746070872939,5907,869,1.0688734475301757E8,1.3396393298831172E8,1.1293103102752732E8
627,746104789487,6319,954,1.1394337176134805E8,1.4232256783977953E8,1.2021878352605405E8
628,746142870007,5744,940,9.807738728956492E7,1.2331466179936883E8,1.0417966179936871E8
629,746178757249,5753,870,1.0452133711747117E8,1.3069816064688306E8,1.109224351566869E8
630,746220088614,5958,859,1.0500310120647693E8,1.3128643453981039E8,1.1121404238294758E8
631,746259981408,6398,871,1.0673833341966785E8,1.3382650989025627E8,1.1269211773339334E8
632,746295405341,5675,879,1.020240204589921E8,1.2736060869428603E8,1.0813715771389407E8
633,746327200083,5701,881,1.0653201161944331E8,1.3192673710963948E8,1.126476194625806E8
634,746360383588,6832,1021,1.0970802978876151E8,1.389720297887617E8,1.1622712782797737E8
